name,smiles,pka_exp,pka_theor,ref,E_neutral,lst_smiles_deprot,lst_name_deprot,lst_E,lst_E_rel,lst_pKa,lst_atomsite,gfn_method,solvent_model,solvent_name,file
1-propyl-1H-pyrazole,CCCN1N=CC=C1,35.2,35.2,5a,-14932.612375574452,"['CCCN1[C-]=CC=N1', 'CCCN1C=[C-]C=N1', 'CCCN1C=C[C-]=N1', 'CC[CH-]N1C=CC=N1', 'C[CH-]CN1C=CC=N1', '[CH2-]CCN1C=CC=N1']","['1-propyl-1H-pyrazole#-1=8', '1-propyl-1H-pyrazole#-1=7', '1-propyl-1H-pyrazole#-1=6', '1-propyl-1H-pyrazole#-1=3', '1-propyl-1H-pyrazole#-1=2', '1-propyl-1H-pyrazole#-1=1']","[-14733.596932763967, -14720.023371305555, -14717.155541461283, -14742.00116844923, -14723.031989645391, -14719.531568385908]","[199.01544281048518, 212.58900426889704, 215.45683411316895, 190.6112071252228, 209.58038592906087, 213.080807188544]","[35.9, 45.8, 47.9, 29.7, 43.6, 46.2]","[8, 7, 6, 3, 2, 1]",gfn                          2,alpb,DMSO,36405294_0_result.pkl
1-methyl-1H-indole,CN(C=C1)C2=C1C=CC=C2,37.3,37.7,5a,-16817.57618728281,"['CN1[C-]=CC2=C1C=CC=C2', 'CN1C=[C-]C2=C1C=CC=C2', 'CN1C=CC2=C1C=CC=[C-]2', 'CN1C=CC2=C1C=C[C-]=C2', 'CN1C=CC2=C1C=[C-]C=C2', 'CN1C=CC2=C1[C-]=CC=C2', '[CH2-]N1C=CC2=C1C=CC=C2']","['1-methyl-1H-indole#-1=3', '1-methyl-1H-indole#-1=4', '1-methyl-1H-indole#-1=7', '1-methyl-1H-indole#-1=8', '1-methyl-1H-indole#-1=9', '1-methyl-1H-indole#-1=10', '1-methyl-1H-indole#-1=1']","[-16614.099834129796, -16601.66621260341, -16599.833451456107, -16597.841913481705, -16599.786026508315, -16605.355205390766, -16622.92621826443]","[203.47635315301522, 215.90997467940178, 217.74273582670503, 219.7342738011066, 217.79016077449705, 212.22098189204553, 194.64996901838094]","[39.2, 48.3, 49.6, 51.1, 49.7, 45.6, 32.7]","[3, 4, 7, 8, 9, 10, 1]",gfn                                  2,alpb,DMSO,36405294_0_result.pkl
benzo[b]thiophene,C1(SC=C2)=C2C=CC=C1,32.9,32.0,5a,-14703.186807373784,"['[C-]1=CC2=C(C=CC=C2)S1', '[C-]1=CC2=C(C=C1)C=CS2', '[C-]1=CC2=C(C=C1)SC=C2', '[C-]1=CC=CC2=C1SC=C2', '[C-]1=CC=CC2=C1C=CS2', '[C-]1=CSC2=C1C=CC=C2']","['benzo[b]thiophene#-1=3', 'benzo[b]thiophene#-1=8', 'benzo[b]thiophene#-1=7', 'benzo[b]thiophene#-1=9', 'benzo[b]thiophene#-1=6', 'benzo[b]thiophene#-1=4']","[-14515.855531958652, -14498.507444191297, -14495.885811505, -14499.531328741105, -14499.93181391936, 60000.0]","[187.33127541513204, 204.67936318248758, 207.3009958687835, 203.65547863267966, 203.25499345442404, 74703.18680737379]","[27.3, 40.0, 42.0, 39.3, 39.0, 54653.4]","[3, 8, 7, 9, 6, 4]",gfn                                         2,alpb,DMSO,36405294_0_result.pkl
benzofuran,C1(OC=C2)=C2C=CC=C1,32.7,33.2,5b,-15220.33460186982,"['[C-]1=CC2=C(C=CC=C2)O1', '[C-]1=CC2=C(C=C1)C=CO2', '[C-]1=CC2=C(C=C1)OC=C2', '[C-]1=CC=CC2=C1OC=C2', '[C-]1=CC=CC2=C1C=CO2', '[C-]1=COC2=C1C=CC=C2']","['benzofuran#-1=3', 'benzofuran#-1=8', 'benzofuran#-1=7', 'benzofuran#-1=9', 'benzofuran#-1=6', 'benzofuran#-1=4']","[-15028.412874619495, -15011.765314713328, -15009.821662471939, -15015.167719944915, -15012.43220221644, -15018.572092256814]","[191.9217272503247, 208.56928715649155, 210.51293939788047, 205.16688192490437, 207.9023996533797, 201.76250961300502]","[30.7, 42.9, 44.3, 40.4, 42.4, 37.9]","[3, 8, 7, 9, 6, 4]",gfn                                                2,alpb,DMSO,36405294_0_result.pkl
benzo[d]oxazole,C1(OC=N2)=C2C=CC=C1,24.4,24.8,5b,-15397.630419643008,"['[C-]1=CC2=C(C=C1)N=CO2', '[C-]1=CC2=C(C=C1)OC=N2', '[C-]1=CC=CC2=C1OC=N2', '[C-]1=CC=CC2=C1N=CO2', '[C-]1=NC2=C(C=CC=C2)O1']","['benzo[d]oxazole#-1=8', 'benzo[d]oxazole#-1=7', 'benzo[d]oxazole#-1=9', 'benzo[d]oxazole#-1=6', 'benzo[d]oxazole#-1=3']","[-15195.78470572758, -15193.549114751779, -15199.879186341166, -15195.870176431701, -15216.533138429064]","[201.84571391542886, 204.0813048912296, 197.75123330184215, 201.76024321130717, 181.09728121394437]","[38.0, 39.6, 35.0, 37.9, 22.8]","[8, 7, 9, 6, 3]",gfn                                                      2,alpb,DMSO,36405294_0_result.pkl
furan,O1C=CC=C1,35.0,35.0,5a,-9594.891924062338,"['[C-]1=CC=CO1', '[C-]1=COC=C1']","['furan#-1=2', 'furan#-1=3']","[-9402.629253508989, -9399.899495511758]","[192.26267055334938, 194.99242855058037]","[35.0, 37.0]","[2, 3]",gfn   1,gbsa,DMSO,36405318_0_result.pkl
thiophene,S1C=CC=C1,32.5,33.5,5a,-8964.32822709968,"['[C-]1=CC=CS1', '[C-]1=CSC=C1']","['thiophene#-1=2', 'thiophene#-1=3']","[-8771.582379584012, -8767.340631869389]","[192.74584751566908, 196.98759523029184]","[35.4, 38.5]","[2, 3]",gfn      1,gbsa,DMSO,36405318_0_result.pkl
"N,N-dimethyl-1H-pyrrol-1-amine",CN(N1C=CC=C1)C,36.4,38.7,5a,-15322.288115947787,"['CN(C)N1[C-]=CC=C1', 'CN(C)N1C=[C-]C=C1', '[CH2-]N(C)N1C=CC=C1']","['N,N-dimethyl-1H-pyrrol-1-amine#-1=4', 'N,N-dimethyl-1H-pyrrol-1-amine#-1=5', 'N,N-dimethyl-1H-pyrrol-1-amine#-1=1']","[-15121.800179826285, -15112.71322276352, -15120.027549097864]","[200.48793612150257, 209.57489318426815, 202.26056684992363]","[41.0, 47.7, 42.3]","[4, 5, 1]",gfn          1,gbsa,DMSO,36405318_0_result.pkl
1-methyl-1H-imidazole,CN1C=CN=C1,33.1,35.1,5a,-11334.285164419785,"['CN1[C-]=CN=C1', 'CN1[C-]=NC=C1', 'CN1C=[C-]N=C1', '[CH2-]N1C=CN=C1']","['1-methyl-1H-imidazole#-1=3', '1-methyl-1H-imidazole#-1=6', '1-methyl-1H-imidazole#-1=4', '1-methyl-1H-imidazole#-1=1']","[-11136.567818098529, -11133.529992345919, -11122.860963694387, -11147.620308829346]","[197.71734632125663, 200.75517207386656, 211.4242007253979, 186.6648555904394]","[39.0, 41.2, 49.0, 30.9]","[3, 6, 4, 1]",gfn               1,gbsa,DMSO,36405318_0_result.pkl
thiazole,S1C=CN=C1,29.4,29.6,5b,-9303.680811306942,"['[C-]1=CN=CS1', '[C-]1=CSC=N1', '[C-]1=NC=CS1']","['thiazole#-1=2', 'thiazole#-1=3', 'thiazole#-1=5']","[-9116.07130413297, -9106.36142644697, -9112.49474447081]","[187.609507173971, 197.31938485997125, 191.18606683613143]","[31.6, 38.7, 34.2]","[2, 3, 5]",gfn                   1,gbsa,DMSO,36405318_0_result.pkl
1-propyl-1H-pyrazole,CCCN1N=CC=C1,35.2,35.2,5a,-15341.369211809264,"['CCCN1[C-]=CC=N1', 'CCCN1C=[C-]C=N1', 'CCCN1C=C[C-]=N1', 'CC[CH-]N1C=CC=N1', 'C[CH-]CN1C=CC=N1', '[CH2-]CCN1C=CC=N1']","['1-propyl-1H-pyrazole#-1=8', '1-propyl-1H-pyrazole#-1=7', '1-propyl-1H-pyrazole#-1=6', '1-propyl-1H-pyrazole#-1=3', '1-propyl-1H-pyrazole#-1=2', '1-propyl-1H-pyrazole#-1=1']","[-15146.666313051373, -15136.983014796704, -15129.34544766972, -15157.50767284257, -15142.055033374787, -15140.17167308326]","[194.70289875789058, 204.38619701255993, 212.02376413954335, 183.86153896669384, 199.31417843447707, 201.1975387260045]","[36.8, 43.9, 49.5, 28.8, 40.2, 41.5]","[8, 7, 6, 3, 2, 1]",gfn                          1,gbsa,DMSO,36405318_0_result.pkl
1-methyl-1H-indole,CN(C=C1)C2=C1C=CC=C2,37.3,37.7,5a,-16986.800447775975,"['CN1[C-]=CC2=C1C=CC=C2', 'CN1C=[C-]C2=C1C=CC=C2', 'CN1C=CC2=C1C=CC=[C-]2', 'CN1C=CC2=C1C=C[C-]=C2', 'CN1C=CC2=C1C=[C-]C=C2', 'CN1C=CC2=C1[C-]=CC=C2', '[CH2-]N1C=CC2=C1C=CC=C2']","['1-methyl-1H-indole#-1=3', '1-methyl-1H-indole#-1=4', '1-methyl-1H-indole#-1=7', '1-methyl-1H-indole#-1=8', '1-methyl-1H-indole#-1=9', '1-methyl-1H-indole#-1=10', '1-methyl-1H-indole#-1=1']","[-16794.599579815575, -16787.68658302431, -16786.4314952651, -16785.610868788644, -16786.609088690428, -16791.758266674282, -16800.25687359843]","[192.2008679604005, 199.11386475166364, 200.3689525108748, 201.1895789873306, 200.19135908554745, 195.04218110169313, 186.54357417754363]","[35.0, 40.0, 40.9, 41.5, 40.8, 37.0, 30.8]","[3, 4, 7, 8, 9, 10, 1]",gfn                                  1,gbsa,DMSO,36405318_0_result.pkl
